iter	Accuracy	MultiClass
0	0.7184335316	2.41606444511	0.7184335316	2.16546902622	0.7181522263	2.00300802
3	0.7204026684	1.779199391
4	0.7721829288	1.620443389
5	0.7993690725	1.500140025
6	0.810902588	1.401877524
7	0.810902588	1.318757158
8	0.812369394	1.248250397
9	0.8145796496	1.185920405
10	0.818759042	1.130858983
11	0.8197235171	1.08244842
12	0.8249678508	1.039892994
13	0.8249075711	1.00048522
14	0.8266757756	0.9641583039
15	0.8262739109	0.9318823717
16	0.8270977335	0.9029013372
17	0.8271781064	0.8767231517
18	0.8279416493	0.852132253
19	0.8283435139	0.8299576441
20	0.8298103199	0.8097332561
21	0.833969619	0.7894412888
22	0.8346929754	0.7710930279
23	0.8350144671	0.7550941054
24	0.8351953062	0.7389079862
25	0.8370237904	0.7240255724
26	0.8372046295	0.7107436317
27	0.8383499437	0.6983243657
28	0.8383901302	0.6874707235
29	0.8389326475	0.6759985081
30	0.8393947918	0.6655418643
31	0.8402588008	0.6555968915
