iter	Accuracy	MultiClass
0	0.7179479451	2.6956357
1	0.718128796	2.482842948
2	0.7174204633	2.33321779
3	0.7189878378	2.147279277
4	0.7511792986	2.000789574
5	0.7989239371	1.882426661
6	0.8083884677	1.783420682
7	0.810483324	1.697576198
8	0.8111765858	1.622716522
9	0.8110710895	1.556510373
10	0.8116739258	1.496650962
11	0.8130001658	1.442569006
12	0.814778533	1.393631058
13	0.8150045966	1.348602479
14	0.8153512275	1.306944369
15	0.8154717948	1.268539219
16	0.8156827875	1.233057473
17	0.8163459075	1.199971059
18	0.8173405875	1.168696804
19	0.8189230329	1.140129897
20	0.8183654093	1.112908422
21	0.8183352674	1.087112207
22	0.8200232092	1.063630554
23	0.8265941254	1.040734429
24	0.8263680617	1.019292058
25	0.8268654017	0.9985302332
26	0.8274682381	0.9789470003
27	0.8275737344	0.9607489959
28	0.8282519253	0.9433931962
29	0.8284930598	0.9270068799
30	0.8285834853	0.9113416712
31	0.8285533435	0.8965438639
32	0.8285533435	0.882702294
33	0.8284177053	0.8691304698
34	0.8295630944	0.8556660258
35	0.8300905762	0.8432341746
36	0.8324567088	0.8309862356
37	0.8325320634	0.819724558
38	0.8328334815	0.8084983794
39	0.8340090124	0.7981742183
40	0.8355311742	0.7876493668
41	0.8361942942	0.7776454037
42	0.8363751451	0.7681619755
43	0.8369327687	0.7595882769
44	0.8379425196	0.7503708856
45	0.8380480159	0.7424759666
46	0.8382740795	0.7342733891
47	0.8391632632	0.7265148147
48	0.8391180504	0.7191474363
49	0.839193405	0.7119652653
50	0.8392687595	0.7052692488
51	0.8393441141	0.6984435401
52	0.8395852486	0.6920083799
53	0.8396003195	0.6864768266
54	0.839675674	0.6801406281
55	0.8397811704	0.6739138114
56	0.8399921631	0.6683802565
57	0.8406251413	0.6630805361
58	0.8408964176	0.6578904331
59	0.8409114886	0.6534479884
60	0.8408662758	0.6484699966
61	0.8413184031	0.6437392031
62	0.8414389704	0.6392218749
63	0.8416198213	0.6348629678
64	0.8416499631	0.6310084063
65	0.8416348922	0.6271130474
66	0.8417253176	0.6232321118
67	0.8419664522	0.6194629128
68	0.8422980121	0.6154361545
69	0.842493934	0.6112789385
70	0.842644643	0.6082301997
71	0.8432926921	0.6050202139
72	0.843141983	0.6013630459
73	0.8436242521	0.5980257816
74	0.8444230103	0.5950684102
75	0.8443928684	0.5922573325
76	0.844468223	0.5891325915
77	0.8453121939	0.5860352254
78	0.8455382575	0.5829877817
79	0.8456437539	0.5802394603
80	0.8458848884	0.5774684735
81	0.8460506684	0.5750428226
82	0.8460657393	0.5723798048
83	0.8461712357	0.570226431
84	0.8466535047	0.5676667902
85	0.8470152065	0.5653300929
86	0.8468494266	0.5632584906
87	0.8470905611	0.56129627
88	0.8474824047	0.5590770787
89	0.8475276174	0.5569764531
