iter	Passed	Remaining
0	49	73228
1	97	72152
2	146	72051
3	199	73621
4	250	73889
5	300	73738
6	349	73507
7	401	73828
8	455	74346
9	506	74465
10	556	74255
11	609	74537
12	660	74525
13	721	75550
14	777	75852
15	827	75708
16	879	75641
17	931	75595
18	979	75253
19	1028	75019
20	1076	74711
21	1126	74612
22	1175	74432
23	1223	74171
24	1279	74412
25	1328	74269
26	1379	74160
27	1429	74079
28	1479	73959
29	1530	73930
30	1579	73785
31	1635	73961
32	1691	74117
33	1756	74636
34	1812	74797
35	1868	74893
36	1921	74871
37	1973	74846
38	2027	74856
39	2080	74831
40	2135	74895
41	2186	74801
42	2238	74759
43	2289	74681
44	2346	74778
45	2405	74939
46	2461	75008
47	2517	75043
48	2573	75098
49	2624	75004
50	2674	74877
51	2727	74845
52	2781	74831
53	2836	74844
54	2887	74771
55	2937	74637
56	2986	74493
57	3036	74385
58	3083	74213
59	3130	74037
60	3182	73979
61	3236	73971
62	3289	73930
63	3342	73905
64	3390	73748
65	3439	73639
66	3494	73642
67	3550	73667
68	3602	73625
69	3654	73564
70	3713	73644
71	3760	73476
72	3806	73307
73	3855	73199
74	3905	73107
75	3950	72935
76	3998	72801
77	4048	72719
78	4097	72607
79	4143	72454
80	4191	72345
81	4245	72323
82	4301	72348
83	4360	72408
84	4407	72280
85	4455	72176
86	4503	72053
87	4553	71974
88	4605	71931
89	4654	71830
90	4702	71718
91	4748	71594
92	4801	71564
93	4852	71497
94	4901	71413
95	4955	71388
96	5007	71337
97	5053	71215
98	5100	71104
99	5150	71020
100	5204	71007
101	5253	70925
102	5298	70780
103	5347	70695
104	5399	70660
105	5447	70563
106	5499	70515
107	5551	70478
108	5605	70451
109	5649	70313
110	5696	70203
111	5745	70125
112	5793	70039
113	5843	69962
114	5893	69898
115	5941	69815
116	5992	69760
117	6041	69683
118	6091	69618
119	6141	69550
120	6192	69502
121	6240	69416
122	6292	69365
123	6338	69265
124	6388	69204
125	6440	69160
126	6491	69101
127	6542	69053
128	6594	69007
129	6642	68924
130	6686	68806
131	6735	68729
132	6786	68684
133	6835	68611
134	6893	68624
135	6954	68677
136	7011	68686
137	7061	68622
138	7113	68579
139	7160	68481
140	7211	68429
141	7265	68407
142	7317	68360
143	7375	68377
144	7428	68345
145	7481	68306
146	7531	68246
147	7584	68206
148	7630	68113
149	7683	68074
150	7730	67985
151	7778	67904
152	7826	67827
153	7873	67739
154	7918	67638
155	7963	67532
156	8008	67434
157	8053	67329
158	8104	67285
159	8151	67200
160	8198	67118
161	8248	67053
162	8297	66989
163	8349	66945
164	8393	66845
165	8444	66789
166	8489	66696
167	8534	66602
168	8585	66553
169	8632	66473
170	8681	66409
171	8731	66352
172	8784	66318
173	8835	66265
174	8885	66211
175	8939	66182
176	8991	66143
177	9044	66105
178	9091	66030
179	9145	66000
180	9197	65956
181	9251	65930
182	9307	65917
183	9355	65847
184	9408	65808
185	9457	65744
186	9508	65696
187	9559	65645
188	9616	65635
189	9669	65600
190	9720	65550
191	9771	65497
192	9824	65462
193	9871	65385
194	9918	65311
195	9965	65233
196	10014	65171
197	10062	65103
198	10110	65035
199	10158	64966
200	10206	64894
201	10255	64834
202	10300	64744
203	10345	64660
204	10389	64566
205	10435	64484
206	10486	64440
207	10531	64353
208	10580	64294
209	10629	64232
210	10676	64159
211	10726	64104
212	10776	64049
213	10823	63980
214	10872	63918
215	10916	63832
216	10963	63759
217	11006	63664
218	11052	63591
219	11098	63514
220	11143	63430
221	11191	63367
222	11241	63317
223	11289	63253
224	11338	63192
225	11384	63118
226	11434	63065
227	11481	62998
228	11524	62909
229	11570	62832
230	11619	62773
231	11662	62685
232	11709	62616
233	11756	62550
234	11802	62480
235	11846	62393
236	11892	62320
237	11941	62267
238	11986	62190
239	12032	62116
240	12082	62066
241	12127	61988
242	12172	61915
243	12222	61865
244	12275	61827
245	12319	61748
246	12367	61685
247	12411	61609
248	12456	61532
249	12503	61465
250	12548	61390
251	12593	61320
252	12637	61237
253	12680	61157
254	12729	61102
255	12774	61029
256	12818	60950
257	12861	60868
258	12909	60811
259	12957	60752
260	13003	60684
261	13048	60609
262	13093	60537
263	13139	60472
264	13180	60380
265	13225	60311
266	13269	60234
267	13316	60171
268	13361	60100
269	13404	60022
270	13447	59944
271	13492	59874
272	13536	59797
273	13580	59723
274	13629	59670
275	13675	59608
276	13724	59554
277	13769	59487
278	13819	59439
279	13865	59376
280	13908	59296
281	13952	59225
282	14004	59185
283	14054	59137
284	14102	59080
285	14149	59021
286	14200	58980
287	14252	58940
288	14296	58866
289	14348	58827
290	14395	58767
291	14445	58720
292	14492	58662
293	14537	58593
294	14583	58531
295	14630	58472
296	14675	58403
297	14721	58342
298	14764	58269
299	14812	58212
300	14861	58161
301	14910	58111
302	14954	58039
303	14997	57965
304	15048	57923
305	15092	57855
306	15141	57805
307	15187	57743
308	15232	57675
309	15277	57610
310	15321	57542
311	15366	57477
312	15413	57418
313	15457	57350
314	15499	57276
315	15546	57215
316	15594	57162
317	15637	57091
318	15689	57052
319	15732	56979
320	15777	56915
321	15823	56854
322	15870	56798
323	15916	56738
324	15960	56672
325	16002	56596
326	16045	56527
327	16092	56470
328	16140	56419
329	16191	56376
330	16239	56322
331	16285	56263
332	16335	56217
333	16378	56147
334	16421	56076
335	16464	56009
336	16511	55953
337	16562	55909
338	16611	55860
339	16666	55832
340	16719	55797
341	16782	55793
342	16840	55776
343	16895	55746
344	16952	55723
345	17008	55696
346	17063	55664
347	17110	55608
348	17160	55561
349	17211	55517
350	17256	55457
351	17301	55393
352	17346	55333
353	17396	55284
354	17441	55224
355	17487	55165
356	17534	55107
357	17583	55059
358	17630	55003
359	17679	54954
360	17722	54887
361	17779	54860
362	17831	54821
363	17881	54774
364	17930	54725
365	17979	54676
366	18061	54726
367	18109	54672
368	18150	54599
369	18194	54533
370	18244	54487
371	18288	54423
372	18340	54382
373	18388	54330
374	18434	54272
375	18480	54213
376	18526	54154
377	18574	54100
378	18619	54039
379	18665	53983
380	18709	53918
381	18752	53852
382	18795	53786
383	18839	53721
384	18886	53667
385	18930	53604
386	18974	53541
387	19020	53482
388	19065	53421
389	19111	53364
390	19156	53304
391	19203	53249
392	19253	53204
393	19302	53154
394	19349	53099
395	19393	53039
396	19439	52980
397	19483	52917
398	19530	52863
399	19574	52801
400	19621	52747
401	19666	52689
402	19710	52625
403	19767	52600
404	19815	52548
405	19867	52508
406	19919	52464
407	19986	52463
408	20041	52431
409	20091	52385
410	20135	52321
411	20178	52259
412	20221	52193
413	20265	52132
414	20308	52067
415	20353	52009
416	20398	51950
417	20449	51905
418	20492	51843
419	20536	51781
420	20580	51719
421	20621	51652
422	20663	51585
423	20710	51532
424	20757	51478
425	20803	51423
426	20848	51364
427	20891	51301
428	20936	51242
429	20982	51187
430	21027	51129
431	21073	51074
432	21118	51015
433	21169	50972
434	21211	50907
435	21257	50851
436	21300	50789
437	21346	50734
438	21390	50675
439	21440	50629
440	21485	50571
441	21537	50530
442	21583	50475
443	21627	50416
444	21678	50372
445	21724	50317
446	21773	50269
447	21819	50213
448	21864	50156
449	21907	50096
450	21957	50048
451	21999	49985
452	22042	49925
453	22086	49864
454	22128	49800
455	22170	49737
456	22215	49680
457	22259	49622
458	22303	49563
459	22345	49500
460	22390	49444
461	22438	49394
462	22484	49340
463	22529	49283
464	22576	49230
465	22620	49173
466	22665	49116
467	22712	49064
468	22765	49025
469	22810	48970
470	22856	48916
471	22898	48854
472	22945	48801
473	22992	48749
474	23036	48691
475	23078	48629
476	23120	48568
477	23162	48505
478	23206	48448
479	23248	48386
480	23294	48332
481	23338	48274
482	23381	48215
483	23431	48170
484	23479	48120
485	23526	48069
486	23567	48005
487	23609	47944
488	23654	47889
489	23698	47832
490	23740	47771
491	23787	47719
492	23831	47662
493	23870	47595
494	23911	47533
495	23956	47478
496	24004	47428
497	24049	47374
498	24090	47312
499	24132	47251
500	24180	47202
501	24228	47153
502	24269	47092
503	24314	47037
504	24361	46986
505	24406	46931
506	24453	46882
507	24499	46828
508	24546	46778
509	24591	46724
510	24651	46697
511	24699	46649
512	24751	46607
513	24799	46558
514	24849	46513
515	24896	46462
516	24943	46412
517	24989	46361
518	25039	46316
519	25083	46260
520	25126	46202
521	25173	46152
522	25220	46100
523	25266	46047
524	25309	45990
525	25354	45936
526	25396	45877
527	25440	45821
528	25481	45760
529	25525	45705
530	25570	45651
531	25616	45598
532	25662	45546
533	25705	45490
534	25753	45440
535	25797	45387
536	25840	45329
537	25882	45270
538	25929	45220
539	25971	45161
540	26018	45112
541	26064	45059
542	26106	45001
543	26155	44954
544	26204	44908
545	26253	44862
546	26301	44813
547	26348	44762
548	26399	44721
549	26451	44679
550	26494	44622
551	26539	44568
552	26587	44521
553	26632	44466
554	26674	44410
555	26721	44359
556	26769	44311
557	26813	44256
558	26858	44203
559	26902	44149
